2026-03-04 14:43:18,733 | train_pipeline_260304_144318 | INFO | Starting training pipeline
2026-03-04 14:43:18,753 | train_pipeline_260304_144318 | INFO | Loaded data with shape (7043, 21)
2026-03-04 14:43:18,756 | train_pipeline_260304_144318 | INFO | Split features and target Churn
2026-03-04 14:43:18,760 | train_pipeline_260304_144318 | INFO | Split train and test set of size 0.2
2026-03-04 14:43:18,825 | train_pipeline_260304_144318 | INFO | Finished preprocessing for a linear-type model
2026-03-04 14:43:18,837 | train_pipeline_260304_144318 | INFO | Completed training a logistic_regression model
2026-03-04 14:43:18,843 | train_pipeline_260304_144318 | INFO | Metrics: {'accuracy': 0.7927608232789212, 'roc_auc': 0.8413482652613088, 'precision': 0.6453900709219859, 'recall': 0.48663101604278075, 'f1_score': 0.5548780487804879}
2026-03-04 14:43:18,844 | train_pipeline_260304_144318 | INFO | Saved model and preprocessor to /Users/andresluna/mlprojects/ml_churn/models/v1
2026-03-04 14:43:18,844 | train_pipeline_260304_144318 | INFO | Training pipeline finished successfully
