2026-03-05 16:28:24,277 | train_pipeline_260305_162824 | INFO | Starting training pipeline
2026-03-05 16:28:24,314 | train_pipeline_260305_162824 | INFO | Loaded data with shape (7043, 21)
2026-03-05 16:28:24,321 | train_pipeline_260305_162824 | INFO | Split features and target Churn
2026-03-05 16:28:24,329 | train_pipeline_260305_162824 | INFO | Split train and test set of size 0.2
2026-03-05 16:28:24,406 | train_pipeline_260305_162824 | INFO | Finished preprocessing for a linear-type model
2026-03-05 16:28:24,432 | train_pipeline_260305_162824 | INFO | Completed training a logistic_regression model
2026-03-05 16:28:24,441 | train_pipeline_260305_162824 | INFO | Metrics: {'accuracy': 0.7927608232789212, 'roc_auc': 0.8413482652613088, 'precision': 0.6453900709219859, 'recall': 0.48663101604278075, 'f1_score': 0.5548780487804879}
2026-03-05 16:28:24,444 | train_pipeline_260305_162824 | INFO | Saved model and preprocessor to /Users/andresluna/mlprojects/ml_churn/models/v1/260305_162824
2026-03-05 16:28:24,444 | train_pipeline_260305_162824 | INFO | Training pipeline finished successfully
