2026-03-04 17:01:23,663 | train_pipeline_260304_170123 | INFO | Starting training pipeline
2026-03-04 17:01:23,681 | train_pipeline_260304_170123 | INFO | Loaded data with shape (7043, 21)
2026-03-04 17:01:23,683 | train_pipeline_260304_170123 | INFO | Split features and target Churn
2026-03-04 17:01:23,686 | train_pipeline_260304_170123 | INFO | Split train and test set of size 0.2
2026-03-04 17:01:23,749 | train_pipeline_260304_170123 | INFO | Finished preprocessing for a linear-type model
2026-03-04 17:01:23,763 | train_pipeline_260304_170123 | INFO | Completed training a logistic_regression model
2026-03-04 17:01:23,767 | train_pipeline_260304_170123 | INFO | Metrics: {'accuracy': 0.7927608232789212, 'roc_auc': 0.8413482652613088, 'precision': 0.6453900709219859, 'recall': 0.48663101604278075, 'f1_score': 0.5548780487804879}
2026-03-04 17:01:23,770 | train_pipeline_260304_170123 | INFO | Saved model and preprocessor to /Users/andresluna/mlprojects/ml_churn/models/v1/260304_170123
2026-03-04 17:01:23,770 | train_pipeline_260304_170123 | INFO | Training pipeline finished successfully
