2026-03-04 16:12:16,233 | train_pipeline_260304_161216 | INFO | Starting training pipeline
2026-03-04 16:12:16,252 | train_pipeline_260304_161216 | INFO | Loaded data with shape (7043, 21)
2026-03-04 16:12:16,254 | train_pipeline_260304_161216 | INFO | Split features and target Churn
2026-03-04 16:12:16,258 | train_pipeline_260304_161216 | INFO | Split train and test set of size 0.2
2026-03-04 16:12:16,322 | train_pipeline_260304_161216 | INFO | Finished preprocessing for a linear-type model
2026-03-04 16:12:16,336 | train_pipeline_260304_161216 | INFO | Completed training a logistic_regression model
2026-03-04 16:12:16,341 | train_pipeline_260304_161216 | INFO | Metrics: {'accuracy': 0.7927608232789212, 'roc_auc': 0.8413482652613088, 'precision': 0.6453900709219859, 'recall': 0.48663101604278075, 'f1_score': 0.5548780487804879}
2026-03-04 16:12:16,343 | train_pipeline_260304_161216 | INFO | Saved model and preprocessor to /Users/andresluna/mlprojects/ml_churn/models/v1
2026-03-04 16:12:16,343 | train_pipeline_260304_161216 | INFO | Training pipeline finished successfully
